Logger_ID,Logger_Type,Female_ID,Experiment,Treatment,Nest_ID,Overall_Hatching_Date,Hatching_Date_1,Hatching_Time_1,Num_Hatchlings_1,Excavation_1,Hatching_Date_2,Hatching_Time_2,Num_Hatchlings_2,Excavation_2,Hatching_Day_3,Hatching_Time_3,Num_Hatchlings_3,Excavation_3,Hatching_Day_4,Hatching_Time_4,Num_Hatchlings_4,Excavation_4,Hatching_Day_5,Hatching_Time_5,Num_Hatchlings_5,Excavation_5,Notes,,
21115083,MX_Temp,SLM155,Gene_Exp,Shallow,59,10/19/22,10/19/22,19:45,49,no,,,,,,,,,,,,,,,,,,,
21114902,MX_Temp,SLM155,Gene_Exp,Deep,60,10/24/22,10/24/22,2:44,34,no,,,,,,,,,,,,,,,,,,,
21115097,MX_Temp,SLM158,Gene_Exp,Shallow,61,10/22/22,10/22/22,2:44,29,no,,,,,,,,,,,,,,,,,,,
21115099,MX_Temp,SLM158,Gene_Exp,Deep,62,10/26/22,10/26/22,23:45,29,no,,,,,,,,,,,,,,,,,,,
21115092,MX_Temp,SLM159,Gene_Exp,Shallow,63,10/24/22,10/22/22,19:09,1,no,10/24/22,21:00,19,no,,,,,,,,,,,,,,,
21115093,MX_Temp,SLM159,Gene_Exp,Deep,64,10/28/22,10/28/22,0:06,25,no,,,,,,,,,,,,,,,,,,,
20592645,TidBit,SLM065,Gene_Exp,Shallow,65,10/24/22,10/24/22,19:50,16,no,10/24/22,23:21,1,no,,,,,,,,,,,,,,,
21115082,MX_Temp,SLM065,Gene_Exp,Deep,66,10/25/22,10/25/22,22:43,32,no,,,,,,,,,,,,,,,,,,,
21114993,MX_Temp,SLM091,Gene_Exp,Shallow,67,10/23/22,10/23/22,23:08,17,no,10/26/22,6:00,10,yes,,,,,,,,,,,,,,,
21114897,MX_Temp,SLM091,Gene_Exp,Deep,68,10/28/22,10/27/22,21:53,1,no,10/28/22,1:30,4,no,10/28/22,2:00,8,no,10/28/22,2:16,6,no,10/28/22,2:37,1,no,"no hatch time, used start time for all except hatching_time 1 and 5",,
10128448,TidBit,SLM137,Gene_Exp,Shallow,69,10/20/22,10/20/22,20:48,31,no,,,,,,,,,,,,,,,,,,,
21115098,MX_Temp,SLM137,Gene_Exp,Deep,70,10/25/22,10/25/22,21:23,1,no,10/25/22,23:55,24,no,,,,,,,,,,,,,,,
21114492,MX_Temp,SLM140,Gene_Exp,Shallow,71,10/23/22,10/23/22,20:06,22,no,,,,,,,,,,,,,,,,,,,
21114904,MX_Temp,SLM140,Gene_Exp,Deep,72,10/26/22,10/26/22,22:50,34,no,10/26/22,1:16,2,no,10/26/22,1:50,1,no,,,,,,,,,,,